username,userid,profile_location,created_at,text,retweet_count,source,coordinates
sleepless in Seattle ✨,55164719,sleepless in Seattle,2023-01-20 17:03:54,This one is def gentrification 😭 https://t.co/DxcKffCLb2,0,Twitter for Android,
sleepless in Seattle ✨,55164719,sleepless in Seattle,2023-01-20 17:03:22,I just know it's some gentrification 😭 https://t.co/MAtLL9rWKc https://t.co/ZPqjnpc73R,0,Twitter for Android,
push the needle,2997967610,Seattle Washington,2023-01-20 06:35:16,dont worry i did robust community outreach and this is where the 37 people told me housing belongs because it doubl… https://t.co/VQTu8RJsoK,0,Twitter for iPhone,
MARCUS Lamon TAYLOR,1271711762497204224,"Seattle, WA",2023-01-19 22:29:15,"@elebull @Todd_Peterson_1 Gentrification, white flight, redlining, segregation and some other shit is still going o… https://t.co/bUoRNSfVVU",0,Twitter Web App,
Holistic,1401793801740455936,,2023-01-19 20:40:45,"@PeteHegseth Red lining, Gentrification, Unjust Judicial System, Systematic Racism and Police Brutality is wrong bu… https://t.co/ONRUQXcvBp",0,Twitter for Android,
♡𝑨𝒓𝒓𝒊𝒆𝒂𝒏𝒏𝒆♡,998813380533141504,"Seattle, WA",2023-01-19 18:13:57,@ackeeandNafish Oh yeah there's a lot of gentrification here. They just keep pushing people with less money further out south,0,Twitter for Android,
NWpapi,1070531233921163265,"Seattle, WA",2023-01-18 03:10:16,@IsolaHomes How many families had to leave their homes in the C D because of some gentrification bull 💩 like this p… https://t.co/UYkNWvubCV,0,Twitter for iPhone,
End of Days Radio🐬🦚,14246913,Seattle ,2023-01-17 04:33:54,"Thanks to the OG Illuminati, I have experienced a form of gentrification. If only the old ways could be the main wa… https://t.co/Ft8LgCdZnw",1,Twitter for iPhone,
Lindsay ♿✡️🏳️‍⚧️🏳️‍🌈🧣,2949412370,"Seattle, WA",2023-01-16 08:57:00,@Ron56089430 @AGenericBody @SagED_UP Gentrification is what's ruining California not poor people.,0,Twitter for Android,
the roughest toughest frail,28877898,"Seattle, WA",2023-01-15 22:38:08,if u think about it gentrification is the gentrified version of the word carpetbagging,0,Twitter for iPhone,
Mina Hayakawa,1519830190536282113,"Seattle, WA",2023-01-15 16:48:38,@Elizabe87622123 @DanieleCreole I was just talking to my friend last night from the SF bay area and she mentioned h… https://t.co/atm8msgCIQ,0,Twitter Web App,
Washington Labor Education and Research Center,3717886032,"Seattle, WA",2023-01-13 20:04:03,"Defending the Working Waterfronts Against Privatization, Militarization and Gentrification. 

Friday January 13th 4… https://t.co/zJPI06dODe",5,Sendible,
Mandy Gill,2205728552,Seattle WA,2023-01-13 17:41:22,Climate Gentrification Is Coming to Hurricane-Wrecked Florida https://t.co/NVmJpLKp5J https://t.co/SykH76Jwqr,0,IFTTT,
F. Wing,1585084185940729856,"Seattle, WA",2023-01-12 23:31:19,"Seattle, Denver, Austin, Nashville I could go on but. Gentrification ruins cultures. https://t.co/4Xe3jMf4lz",0,Twitter for iPhone,
YES! Magazine,15935927,"Seattle, WA",2023-01-12 21:41:51,The Gentrification of Wilderness https://t.co/daJMTFSOJl,0,Echobox,
Cascadia 🧦 🚰 🏘️ 🚆,1147016460125949952,"Seattle, Washington ",2023-01-12 21:34:22,"@mikesaunders Also, what I was going to say in my thread was that these papers are talking about displacement and r… https://t.co/n6DqLFiN6X",0,Twitter Web App,
Erin Sagen,1615897398,"Seattle, WA",2023-01-11 22:10:09,Missing middle housing is quite literally missing in this gentrification article: https://t.co/ssQHEI3jEv https://t.co/buJqE0keA4,0,Twitter Web App,
Schuy is powered by Vossloh Kiepe,4903470843,"Seattle, WA",2023-01-11 09:38:54,@isilanorien say NO! to gentrification in *checks notes* South Lake Union,0,Twitter for iPhone,
Schuy is powered by Vossloh Kiepe,4903470843,"Seattle, WA",2023-01-10 22:45:53,@nikolajsalt well. the hills are very wealthy (the Mormons put their temple there) but like Oakland has a reputatio… https://t.co/WABdwsfQ6u,0,Twitter for iPhone,
