username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Benjamin Schneider,1681316725,"San Francisco, CA",2023-01-20 19:00:47,"The reality is that a lot of people hate 5 over 1s, and a lot of people view them as a symbol of gentrification. Th… https://t.co/Uul6z7x6DY",0,Twitter Web App,
Benjamin Schneider,1681316725,"San Francisco, CA",2023-01-20 19:00:03,"This is a good article! If people read beyond the headline, they’ll learn why new housing is desperately needed and… https://t.co/C9B1dEgACF",0,Twitter Web App,
H.P. Lovecrab,1488316599505338375,"San Francisco, CA",2023-01-20 15:11:45,@ImJustDEO @itmeanssunshine Have you gone to the supermarket lately? A 6pack bag of chicken breasts used to be less… https://t.co/1F7NM3pLTA,0,Twitter for iPad,
Chris Tolles,15519999,San Francisco,2023-01-20 14:31:36,@Jacksback1980 @TheOmniZaddy Immigration law is the only one of those that actually prevents someone from living wh… https://t.co/6MxCqDJ6mo,0,Twitter for iPhone,
Pip,163760150,"San Francisco, CA",2023-01-20 03:36:32,"@houseofrio @SFist Exactly, this is gentrification… these people come here for a tech jobs and changes the environm… https://t.co/kKIPKdT5kn",0,Twitter for iPhone,
"Dark Brandon, Whom I Do Not Support",394230029,San Francisco,2023-01-19 20:28:20,@mattyglesias There are streets in SF where they refuse to plant trees because they think it will encourage gentrification. Truly perverse.,0,Twitter Web App,
jawn crewz ,934386513827082241,"San Francisco, CA",2023-01-19 19:27:12,@EscaflowneClown @slayycoulee Right! So it’s chicken and egg. They’re not the same. And gentrification? I don’t thi… https://t.co/Gtwv9Jf2Cx,0,Twitter for iPhone,
@chaboiluis🤠,2327907194,"San Francisco, CA",2023-01-19 18:23:57,Fighting gentrification 1 car at a time 🙈 https://t.co/QBTQ8uuhyQ,0,Twitter for iPhone,
the weaknd,341221840,San Francisco,2023-01-19 06:11:32,"@oldoakstknwldg @DionLimTV @Oakland @KTVU You’re blaming this on gentrification, surely you’re not suggesting Oakla… https://t.co/fVYAkcsjTT",0,Twitter for iPhone,
JokerCode,392330918,San Francisco,2023-01-19 02:49:01,@cultofJT @DeanPreston It has nothing to with Dean P. because he’s not from SF and wasn’t in the neighborhood fight… https://t.co/MUDBc56kwZ,0,Twitter for iPad,
m,16320407,"San Francisco, CA",2023-01-18 20:20:21,@dondisappoints @hyphy_republic Gentrification in scare quotes. https://t.co/W2d8ab3Ns5,0,Twitter Web App,
JM(f)L,15664775,San Francisco.,2023-01-18 17:42:19,"@LL_cool_josh Agreed. It is revealing that some of most vocal ""anti-gentrification"" voices are voices/elected offic… https://t.co/NLgesBZS3k",0,Twitter Web App,
Mason J. (he/they),8316692,San Francisco,2023-01-18 15:32:52,@DeanPreston She hates her own ‘hood with a fervor that'll be written about in the future on what NOT to do to enhance gentrification,0,Twitter for iPhone,
Harlo 🪟☀️☮️,1267236543338385409,San Francisco,2023-01-18 06:29:26,"@mayorseidel it doesn't conclusively find that TOD *doesn't* cause gentrification either 
https://t.co/vXDmEq715H",0,Twitter Web App,
Harlo 🪟☀️☮️,1267236543338385409,San Francisco,2023-01-18 06:27:46,"some evidence TOD causes gentrification
https://t.co/vXDmEq715H https://t.co/B1qUlsh8W3",3,Twitter Web App,
